tempo,rpmEsquerdo,rpmDireito,corrente
0,121.61,100.93,537.0
1,111.49,137.65,508.87
2,112.11,122.45,509.55
3,105.59,78.89,512.02
4,90.53,93.17,514.15
5,89.71,48.26,516.39
6,103.25,71.5,518.03
7,98.16,81.87,519.7
8,62.58,2.17,521.17
9,79.86,94.19,522.41
10,97.51,108.46,523.79
11,107.89,40.75,524.9
12,75.65,61.59,526.1
13,55.28,86.97,526.85
14,93.17,29.57,527.0
15,77.85,71.41,527.9
16,92.0,101.77,528.79
17,65.82,51.48,529.98
18,86.01,81.97,530.05
19,57.23,69.62,530.9
20,90.66,84.17,531.28
21,102.66,70.09,532.0
22,95.37,95.33,532.1
23,99.66,81.15,533.18
24,89.36,74.55,533.22
25,46.97,84.56,533.8
26,95.09,77.9,534.03
27,84.97,69.33,534.72
28,54.73,87.62,535.0
29,91.68,59.56,535.54
30,56.06,73.76,535.9
31,70.94,94.8,536.0
32,87.55,48.3,536.1
33,101.94,86.6,536.8
34,81.58,75.29,537.1
35,82.07,78.18,537.18
36,99.3,84.63,537.98
37,119.55,140.19,538.0
38,85.82,30.41,538.1
39,142.35,0.0,538.56
40,103.55,37.48,539.1
41,12.02,57.2,540.0
42,67.19,22.4,540.0
43,110.79,69.54,539.92
44,76.93,96.76,540.0
45,81.67,79.58,590.62
46,84.54,13.71,696.41
